"","NGA.y","Date.From","Articles","Calendar","Degree of centralization","Duration","Formal legal code","Full-time bureaucrats","History","irrigation systems","markets","Mnemonic devices","Peak Date","Polity territory","Population of the largest settlement","Postal stations","Practical literature","Professional priesthood","Professional soldiers","Religious levels","Roads","Sacred Texts","Script","Settlement hierarchy","Specialized government buildings","Tokens","Written records"
"1","Basin of Mexico",-1200,"inferred present","absent","quasi-polity","1200-801 BCE","inferred absent","inferred absent","absent","suspected unknown","inferred absent","present",NA,"suspected unknown","1000","absent","absent","inferred absent","inferred absent","1","suspected unknown","absent","absent","2","absent",NA,"absent"
"2","Basin of Mexico",-800,"inferred present","absent","quasi-polity","800-401 BCE","inferred absent","inferred absent","absent","present","inferred absent","present","650 BCE","suspected unknown","3000","absent","absent","inferred absent","inferred absent","1","suspected unknown","absent","absent","2","suspected unknown",NA,"absent"
"3","Basin of Mexico",-400,"present","absent","quasi-polity","400-101 BCE","inferred absent","suspected unknown","absent","present","suspected unknown","present","200 BCE","suspected unknown","20000",NA,"absent","inferred present","suspected unknown","2","suspected unknown","absent","absent","3","inferred present","suspected unknown","absent"
"4","Basin of Mexico",-100,"present","absent","quasi-polity","100 BCE-99 CE","inferred absent","suspected unknown","absent","present","present","present",NA,"suspected unknown","40000",NA,"absent","inferred present","suspected unknown","2","suspected unknown","absent","absent","3","inferred present","suspected unknown","absent"
"5","Basin of Mexico",-6000,NA,"absent",NA,"6000-2001 BCE","inferred absent","suspected unknown","absent","inferred absent","inferred absent","present",NA,"suspected unknown","suspected unknown",NA,"absent","suspected unknown","suspected unknown",NA,NA,"absent","absent","1","inferred absent",NA,"absent"
"6","Basin of Mexico",-2000,NA,"absent",NA,"2000-1201 BCE","inferred absent","suspected unknown","absent","suspected unknown","suspected unknown","present",NA,"suspected unknown","3000",NA,"absent","suspected unknown","suspected unknown",NA,NA,"absent","absent","2","inferred absent",NA,"absent"
"7","Basin of Mexico",1427,NA,"present",NA,"1427-1526 CE","present","present","present","present","present","present",NA,"28070","150000",NA,"absent","present","present",NA,NA,"present","present","5","present",NA,"absent"
"8","Basin of Mexico",650,NA,"present",NA,"650-899 CE","suspected unknown","inferred present","absent","suspected unknown","present","present",NA,"suspected unknown","25000",NA,"absent","inferred present","inferred present",NA,NA,"present","present","3","inferred present",NA,"absent"
"9","Basin of Mexico",1200,NA,"present",NA,"1200-1426 CE","suspected unknown","inferred present","absent",NA,"present","present",NA,"suspected unknown","20000",NA,"absent","inferred present","inferred present",NA,NA,"suspected unknown","present","3","present",NA,"absent"
"10","Basin of Mexico",900,NA,"present",NA,"900-1199 CE","suspected unknown","inferred present","absent","suspected unknown","present","present",NA,"20000","30000",NA,"absent","inferred present","inferred present",NA,NA,"suspected unknown","present","4","present",NA,"absent"
"11","Basin of Mexico",100,NA,NA,NA,"100-649 CE",NA,NA,NA,"suspected unknown","present",NA,NA,NA,"100000",NA,NA,NA,NA,NA,NA,NA,NA,"3","suspected unknown",NA,NA
"12","Big Island Hawaii",1778,"present","absent","unitary state","1778-1819 CE","absent","present","absent","present","suspected unknown",NA,"1810 CE","15000",NA,"suspected unknown","absent","present","present","2","inferred absent","absent","absent","2","inferred absent","inferred present","absent"
"13","Big Island Hawaii",1000,NA,"absent","quasi-polity","1000-1200 CE","inferred absent","inferred absent","absent","inferred absent","suspected unknown",NA,"1200 CE","1700",NA,"suspected unknown","absent","inferred absent","inferred absent",NA,"suspected unknown","absent","absent","1","inferred absent","suspected unknown","absent"
"14","Big Island Hawaii",1200,NA,"absent","quasi-polity","1200-1580 CE","absent","inferred absent","absent","present","suspected unknown",NA,"1580 CE","1500",NA,"inferred absent","absent","present","inferred absent",NA,"inferred absent","absent","absent","1","inferred absent","suspected unknown","absent"
"15","Big Island Hawaii",1650,NA,"absent","unitary state","1580-1778 CE","absent","absent","absent","present","suspected unknown",NA,NA,"7000",NA,"inferred absent","absent","present","present","2","present","absent","absent","2","inferred absent","suspected unknown","absent"
"16","Cahokia",1050,"present","absent","loose","1000-1150 CE","unknown","inferred absent","absent","absent","absent",NA,"1100 CE","2000","10000","absent","absent","present",NA,"3","present","absent","absent","4","inferred present","suspected unknown","absent"
"17","Cahokia",1200,"present","absent","loose","1200-1275 CE","unknown","inferred absent","absent","absent","absent",NA,"1200 CE","2000","10000","absent","absent","present",NA,"3","present","absent","absent","4","inferred present","suspected unknown","absent"
"18","Cahokia",-600,"present","absent","none","600-150 BCE","absent","absent","absent","absent","absent",NA,"150 CE",NA,"30","absent","absent","absent","absent","suspected unknown","absent","absent","absent","1","absent",NA,"absent"
"19","Cahokia",900,"present","absent","loose","900-1050 CE","unknown","inferred absent","absent","absent","absent",NA,"1050 CE","100","400","absent","absent","present","absent","3","present","absent","absent","3","present","inferred present","absent"
"20","Cahokia",450,"present","absent","none","450-600 CE","absent","absent","absent","absent","absent",NA,"600 CE",NA,"30","absent","absent","absent","absent","suspected unknown","inferred absent","absent","absent","1","absent",NA,"absent"
"21","Cahokia",-150,"present","absent","none","150 BCE - 300 CE","absent","absent","absent","absent","absent",NA,"300 CE",NA,"30","absent","absent","absent","absent","suspected unknown","absent","absent","absent","1","absent",NA,"absent"
"22","Cahokia",600,"present","absent","none","600-750 CE","absent","absent","absent","absent","absent",NA,"750 CE",NA,"30","absent","absent","absent","absent","suspected unknown","inferred absent","absent","absent","1","absent",NA,"absent"
"23","Cahokia",300,"present","absent","none","300-450 CE","absent","absent","absent","absent","absent",NA,"450 CE",NA,"30","absent","absent","absent","absent","suspected unknown","absent","absent","absent","1","absent",NA,"absent"
"24","Cahokia",1275,"present","absent","loose","1275-1400 CE","unknown","inferred absent","absent","absent","absent",NA,NA,"500","5000","absent","absent","present",NA,"3","present","absent","absent","3","inferred absent","suspected unknown","absent"
"25","Cahokia",750,"present","absent","none","750-900 CE","absent","absent","absent","absent","absent",NA,"900 CE","100","400","absent","absent","absent","absent","2","inferred absent","absent","absent","2","absent",NA,"absent"
"26","Cahokia",1640,"suspected unknown","suspected unknown","quasi-polity","1640-1717 CE","absent",NA,"suspected unknown","suspected unknown",NA,"present",NA,"14000","2000",NA,"suspected unknown",NA,NA,"1","inferred absent","suspected unknown","suspected unknown","1","present","suspected unknown","suspected unknown"
"27","Cahokia",1400,"suspected unknown","absent","quasi-polity","1400-1650 CE","absent",NA,"absent","inferred absent","inferred absent",NA,NA,"6000","200",NA,"absent","absent",NA,"1","inferred absent","absent","absent","2","suspected unknown","suspected unknown","absent"
"28","Cambodian Basin",1594,"inferred absent","present",NA,"1593-1767 CE","present","present","present","present","present",NA,"1733-1758 CE",NA,"155000",NA,"inferred present","present","absent","6","absent","inferred present","present","4","inferred absent","present","present"
"29","Cambodian Basin",1782,"inferred absent","present","confederated state","1782-1873 CE","present","present","present","present","inferred present",NA,"1793-1810","513120","50000",NA,"present","present","absent","6","present","present","present","4","absent","present","present"
"30","Cambodian Basin",225,"inferred present","present","confederated state","225-540 CE","inferred present","suspected unknown","present","present","inferred absent",NA,"250-514 CE","257034","2000","suspected unknown","present","inferred present","present","2","present","present","present","3","inferred present","absent","present"
