"","nga_y","date_from","articles","calendar","degree_of_centralization","foreign_coins","formal_legal_code","full_time_bureaucrats","history","indigenous_coins","irrigation_systems","markets","mnemonic_devices","paper_currency","polity_territory","population_of_the_largest_settlement","postal_stations","practical_literature","precious_metals","professional_priesthood","professional_soldiers","religious_levels","roads","sacred_texts","script","settlement_hierarchy","specialized_government_buildings","tokens","written_records"
"1","Basin of Mexico",-1200,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,1000,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,FALSE,FALSE,2,FALSE,NA,FALSE
"2","Basin of Mexico",-800,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,3000,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,FALSE,FALSE,2,NA,NA,FALSE
"3","Basin of Mexico",-400,TRUE,FALSE,2,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,TRUE,FALSE,NA,20000,NA,FALSE,FALSE,TRUE,NA,2,NA,FALSE,FALSE,3,TRUE,NA,FALSE
"4","Basin of Mexico",-100,TRUE,FALSE,2,FALSE,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,40000,NA,FALSE,FALSE,TRUE,NA,2,NA,FALSE,FALSE,3,TRUE,NA,FALSE
"5","Basin of Mexico",-6000,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,1,FALSE,NA,FALSE
"6","Basin of Mexico",-2000,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,NA,3000,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,2,FALSE,NA,FALSE
"7","Basin of Mexico",1427,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,28070,150000,NA,FALSE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,5,TRUE,NA,FALSE
"8","Basin of Mexico",650,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,TRUE,TRUE,NA,NA,25000,NA,FALSE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,3,TRUE,NA,FALSE
"9","Basin of Mexico",1200,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,TRUE,TRUE,NA,NA,20000,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,TRUE,3,TRUE,NA,FALSE
"10","Basin of Mexico",900,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,TRUE,TRUE,NA,20000,30000,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,TRUE,4,TRUE,NA,FALSE
